epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.7274153432415889,0.7612208258527827,0.6979180414486281,0.3490077945692786,0.9137931034482759,0.8884929390997354,0.001,26.37140440940857
2,0.2640446461402749,0.9245960502692998,0.8971671790581344,0.2682274433559385,0.9224137931034483,0.8982009372664022,0.001,23.286641597747803
3,0.20859866745810107,0.9353680430879713,0.9128538483527582,0.24677123874425888,0.9051724137931034,0.8733511586452763,0.001,24.419970273971558
4,0.17157333302754688,0.9389587073608617,0.9156773032559201,0.2257167054661389,0.9224137931034483,0.8972147950089127,0.001,26.31258249282837
5,0.1437431904796638,0.9515260323159784,0.93419685908506,0.2072556089481403,0.9224137931034483,0.8982009372664022,0.001,27.47753596305847
6,0.13005960062547475,0.9587073608617595,0.9444587433474124,0.19398403013574667,0.9224137931034483,0.8982009372664022,0.001,26.14414691925049
7,0.10767166439570901,0.9748653500897666,0.9641299455163915,0.18533211111508566,0.9310344827586207,0.908495054913461,0.001,25.811055421829224
8,0.0972555145434032,0.9802513464991023,0.9717764398956452,0.180492104898239,0.9396551724137931,0.9209950549134611,0.001,26.565876722335815
9,0.08834429850377129,0.9766606822262118,0.9668548383530169,0.17737285240456976,0.9310344827586207,0.9100935828877006,0.001,26.397974252700806
10,0.07271430459495506,0.9874326750448833,0.9821385164635668,0.18197042617047654,0.9482758620689655,0.9334046345811051,0.001,26.341827154159546
